##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	MW2_S4_R1_001.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5432751
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	32
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.855443218362115	32.0	32.0	32.0	32.0	32.0
2	31.365250496479593	32.0	32.0	32.0	32.0	32.0
3	31.482642035315074	32.0	32.0	32.0	32.0	32.0
4	31.497709723858133	32.0	32.0	32.0	32.0	32.0
5	31.505995029037773	32.0	32.0	32.0	32.0	32.0
6	34.85428984321203	36.0	36.0	36.0	36.0	36.0
7	34.877694192132125	36.0	36.0	36.0	36.0	36.0
8	34.8703196594138	36.0	36.0	36.0	36.0	36.0
9	34.89642632250217	36.0	36.0	36.0	36.0	36.0
10-14	34.88403326417868	36.0	36.0	36.0	35.2	36.0
15-19	34.85396772279827	36.0	36.0	36.0	34.4	36.0
20-24	34.781462614428676	36.0	36.0	36.0	32.0	36.0
25-29	34.63939344910157	36.0	36.0	36.0	32.0	36.0
30-34	34.51265320276965	36.0	36.0	36.0	32.0	36.0
35-39	34.36995337140725	36.0	36.0	36.0	32.0	36.0
40-44	34.21061507874879	36.0	36.0	36.0	32.0	36.0
45-49	33.97727476183369	36.0	36.0	36.0	32.0	36.0
50-54	33.763895650810234	36.0	36.0	36.0	29.0	36.0
55-59	33.56908978035476	36.0	36.0	36.0	27.0	36.0
60-64	33.39477039527746	36.0	33.6	36.0	27.0	36.0
65-69	33.14897332653396	36.0	32.0	36.0	27.0	36.0
70-74	32.91422407809857	36.0	32.0	36.0	25.8	36.0
75-79	32.65462331596708	36.0	32.0	36.0	21.0	36.0
80-84	32.29257260678135	36.0	32.0	36.0	21.0	36.0
85-89	31.817256701118367	36.0	32.0	36.0	15.4	36.0
90-94	31.27213660840257	35.2	30.0	36.0	14.0	36.0
95-99	30.564044375698654	32.0	27.0	36.0	14.0	36.0
100-104	29.821508354980956	32.0	27.0	36.0	14.0	36.0
105-109	29.174306560787443	32.0	27.0	36.0	14.0	36.0
110-114	28.660616410718404	32.0	27.0	34.4	14.0	36.0
115-119	28.310991704089815	32.0	27.0	32.0	14.0	36.0
120-124	28.057479743572866	32.0	27.0	32.0	14.0	36.0
125-129	27.86397091420008	32.0	23.4	32.0	14.0	36.0
130-134	27.684917903348396	32.0	21.0	32.0	14.0	36.0
135-139	27.514733634104864	32.0	21.0	32.0	14.0	36.0
140-144	27.31428828913996	32.0	21.0	32.0	14.0	36.0
145-149	27.096751975804118	32.0	21.0	32.0	14.0	36.0
150-151	24.516803417155117	26.5	17.5	29.5	14.0	34.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11103	40-44	0.2077386071744698
11103	45-49	0.24331417103953612
11103	50-54	0.19456881210284394
11103	55-59	0.28297165054645035
11103	60-64	0.11441571734864908
11103	65-69	0.21987905229890004
11103	70-74	0.26587993652522357
11103	75-79	0.2147300110413255
11103	80-84	0.07968283503505802
11103	85-89	-0.23381316686174713
11103	90-94	0.1718814409826841
11103	95-99	0.2253179044702236
11103	100-104	0.23396071428072318
11103	105-109	0.4162472117915428
11103	110-114	0.08191430334242611
11103	115-119	0.2667649479800751
11103	120-124	0.31251848615594824
11103	125-129	0.24824545826856337
11103	130-134	0.30894986426676496
11103	135-139	0.4117339505090314
11103	140-144	0.40255924748074534
11103	145-149	0.35813190203294454
11103	150-151	0.2693669007517343
11104	1	0.1000040834165219
11104	2	0.08397123266000506
11104	3	0.015081938753475299
11104	4	-0.036180016013744876
11104	5	0.06059962096260563
11104	6	0.13234773121887855
11104	7	0.11940721312895164
11104	8	0.052702919107218804
11104	9	0.06833787667418534
11104	10-14	0.14220739995728593
11104	15-19	0.114952326041184
11104	20-24	0.09934306371250301
11104	25-29	0.1077290415462997
11104	30-34	0.1488555603419286
11104	35-39	0.16339201004966242
11104	40-44	0.2055627687859527
11104	45-49	0.12986945881112888
11104	50-54	0.14638292777994621
11104	55-59	0.2629647203334926
11104	60-64	0.25011111520556994
11104	65-69	0.15711013915259286
11104	70-74	0.17881586561833984
11104	75-79	0.24152262504500044
11104	80-84	0.19666363145730514
11104	85-89	0.21323388319029846
11104	90-94	0.029593940383080053
11104	95-99	0.10862814306398505
11104	100-104	0.5020160822867012
11104	105-109	0.7843483184921176
11104	110-114	1.1729389959714993
11104	115-119	0.5643313741705995
11104	120-124	0.40420341857742415
11104	125-129	0.5726960389892142
11104	130-134	0.5751621487427556
11104	135-139	0.3697747343945572
11104	140-144	0.5402917469549422
11104	145-149	0.6208706992452164
11104	150-151	0.6192613178113326
11105	1	0.16906628859828388
11105	2	-0.05129282613384589
11105	3	-0.024421957320260645
11105	4	0.06021454282501182
11105	5	0.06624828210715705
11105	6	0.1452351909588927
11105	7	0.2179796204287925
11105	8	0.07342470880099228
11105	9	0.14704138618574092
11105	10-14	0.04674891309038287
11105	15-19	0.043751611119176914
11105	20-24	0.05058409371396522
11105	25-29	0.07357568546760973
11105	30-34	0.17562541768693762
11105	35-39	0.21260548978627725
11105	40-44	0.1350308056152656
11105	45-49	0.198811493594377
11105	50-54	0.19540607813153343
11105	55-59	0.24921575389669215
11105	60-64	0.23280932364598783
11105	65-69	0.3100777458218076
11105	70-74	0.14227331370561558
11105	75-79	0.30767772483407185
11105	80-84	0.1908567210656571
11105	85-89	0.07183049695414212
11105	90-94	-0.005749662247257703
11105	95-99	0.1973163529848101
11105	100-104	0.07029047346156858
11105	105-109	0.6419739277153269
11105	110-114	0.44313487766535786
11105	115-119	0.43396207012870747
11105	120-124	0.38231801811929955
11105	125-129	0.42602878694050617
11105	130-134	0.5534529575076093
11105	135-139	0.7697171833347163
11105	140-144	0.739876683343109
11105	145-149	0.5469762698597052
11105	150-151	0.35936050633014105
11106	1	0.21344647228949043
11106	2	0.043089640484598846
11106	3	-0.01990426322688066
11106	4	0.060196560863889914
11106	5	-0.06305530937521198
11106	6	0.12722547507075177
11106	7	0.18803715332249027
11106	8	0.06629830124344238
11106	9	0.2216121098642958
11106	10-14	0.16888362831396364
11106	15-19	0.10524674394957856
11106	20-24	0.12293238772622317
11106	25-29	0.16513099688545907
11106	30-34	0.16898087977798326
11106	35-39	0.2513351818009113
11106	40-44	0.2725788404015077
11106	45-49	0.28534053850591334
11106	50-54	0.27574086115244256
11106	55-59	0.23986727637194605
11106	60-64	0.32069758404716
11106	65-69	0.3066974841069694
11106	70-74	0.3980945389884596
11106	75-79	0.42966173779301897
11106	80-84	0.29638127878747156
11106	85-89	0.37515700328008705
11106	90-94	0.6257273824883676
11106	95-99	0.12048383374249028
11106	100-104	0.6001399376162624
11106	105-109	0.7721892014659062
11106	110-114	0.8659637294287563
11106	115-119	0.6360653076207505
11106	120-124	0.7828598541941219
11106	125-129	0.5426216351184543
11106	130-134	0.5293738039271787
11106	135-139	0.681640112585459
11106	140-144	0.5523515140809003
11106	145-149	0.5873815975903227
11106	150-151	0.69245794133953
11107	1	0.0687117653170759
11107	2	0.051184874450825646
11107	3	0.016948080894728434
11107	4	0.013302670642708847
11107	5	-0.04667965534001084
11107	6	0.17705973660555685
11107	7	0.22743100638258085
11107	8	0.10833275948428422
11107	9	0.1823566818676241
11107	10-14	0.13177363396245312
11107	15-19	0.1134603979253157
11107	20-24	0.19295936667818125
11107	25-29	0.25380999442786845
11107	30-34	0.2125412962794897
11107	35-39	0.3334485137127601
11107	40-44	0.28533905379084246
11107	45-49	0.33804344857658464
11107	50-54	0.39588113870977537
11107	55-59	0.3202161185775836
11107	60-64	0.4249008928467859
11107	65-69	0.4168322243328575
11107	70-74	0.4287636487180322
11107	75-79	0.5724176922550726
11107	80-84	0.5932980063408309
11107	85-89	0.3643716362333649
11107	90-94	0.2691804813934091
11107	95-99	0.46887409786604906
11107	100-104	0.9854506636792131
11107	105-109	1.3315144631682756
11107	110-114	0.97601501038978
11107	115-119	0.6320692894203113
11107	120-124	0.6969372748308267
11107	125-129	0.5870755050056076
11107	130-134	0.7772810452843544
11107	135-139	0.6225098910571774
11107	140-144	0.6915787375651448
11107	145-149	0.6876555995023068
11107	150-151	0.42895674687473573
11108	1	0.16563009967668307
11108	2	-0.015231458677252618
11108	3	-0.03136157119886818
11108	4	-0.088349345982909
11108	5	0.02822059096540741
11108	6	0.025270635620330495
11108	7	0.0963828228850474
11108	8	0.17124062586359656
11108	9	0.16052963445383028
11108	10-14	0.0932290988639366
11108	15-19	0.05989788253122441
11108	20-24	0.07888396643187434
11108	25-29	0.11866843038846753
11108	30-34	0.0878232082253092
11108	35-39	0.19064920173209288
11108	40-44	0.23235807181913515
11108	45-49	0.24793338045172675
11108	50-54	0.265078386341969
11108	55-59	0.25863579564332184
11108	60-64	0.30091813573687887
11108	65-69	0.41014794715493963
11108	70-74	0.5011927926051882
11108	75-79	0.3776322863319663
11108	80-84	0.4298212802178014
11108	85-89	0.30993630081471224
11108	90-94	0.5109691582831211
11108	95-99	0.28244874612667203
11108	100-104	0.6834531729277735
11108	105-109	0.7689608545954663
11108	110-114	0.9052429847282824
11108	115-119	0.7043176429548019
11108	120-124	0.8107046402335065
11108	125-129	0.6121680508020546
11108	130-134	0.7867196322919447
11108	135-139	0.6652752921076086
11108	140-144	0.727514226749733
11108	145-149	0.6972207045346579
11108	150-151	0.4941645968299113
11109	1	0.07426173896925548
11109	2	0.027849039311490742
11109	3	-0.006124739905452259
11109	4	0.061655947297303726
11109	5	0.07211438139355053
11109	6	0.06795656447635423
11109	7	0.17437772069798285
11109	8	0.22516145597223414
11109	9	0.14663922637441118
11109	10-14	0.13650639222058203
11109	15-19	0.10027045302071258
11109	20-24	0.1542169061133265
11109	25-29	0.19655067496857725
11109	30-34	0.15856798612730216
11109	35-39	0.3124403272127978
11109	40-44	0.32529673652982893
11109	45-49	0.4027542825618511
11109	50-54	0.3569929384204613
11109	55-59	0.3820350562873642
11109	60-64	0.36407188175534344
11109	65-69	0.5575766473537342
11109	70-74	0.553194713427601
11109	75-79	0.600776264848804
11109	80-84	0.35185433489070306
11109	85-89	0.5337799530889384
11109	90-94	1.1986277237712848
11109	95-99	0.6218178150956852
11109	100-104	0.8331870844528915
11109	105-109	1.0815781703464644
11109	110-114	0.7689030308059159
11109	115-119	0.745483958390075
11109	120-124	0.7382393089830046
11109	125-129	0.6667387072384443
11109	130-134	0.6826582648174409
11109	135-139	0.8356532023409535
11109	140-144	0.6065294411342421
11109	145-149	0.8078865351911482
11109	150-151	0.4893977279355468
11110	1	0.19548684001135186
11110	2	0.022634942196795294
11110	3	0.07840692087527401
11110	4	-0.008374954079361174
11110	5	-0.049823763177698766
11110	6	0.19361841503801713
11110	7	0.13449526082949603
11110	8	0.10676396258322995
11110	9	0.042816268790915046
11110	10-14	0.022107456572243223
11110	15-19	0.09860731114099508
11110	20-24	0.09608219533298978
11110	25-29	0.11460505418328637
11110	30-34	0.14437169684926232
11110	35-39	0.24033742263032565
11110	40-44	0.32671178555577995
11110	45-49	0.29243200184757256
11110	50-54	0.30309692396055965
11110	55-59	0.2504915926618523
11110	60-64	0.3386262308185124
11110	65-69	0.38310107930672643
11110	70-74	0.49631312222082613
11110	75-79	0.475474865733446
11110	80-84	0.7404447590678274
11110	85-89	0.816465379110717
11110	90-94	0.648647698486446
11110	95-99	0.6322818490310809
11110	100-104	0.9259475777388282
11110	105-109	1.375014242998997
11110	110-114	0.8362022161907525
11110	115-119	0.7788385466539793
11110	120-124	0.7084427307788772
11110	125-129	0.8049072878300052
11110	130-134	0.8501711474154554
11110	135-139	0.6844451161605924
11110	140-144	0.7210040181679709
11110	145-149	0.7516499535800989
11110	150-151	0.7029931803634
11111	1	0.12345239326948487
11111	2	-0.03241784041060569
11111	3	0.1028985745618165
11111	4	-0.02458309518711488
11111	5	0.043623409258657375
11111	6	0.024853611836824996
11111	7	0.09614284036872789
11111	8	0.03810475676314695
11111	9	0.1803099102018777
11111	10-14	0.11188521957734565
11111	15-19	0.18989894295444998
11111	20-24	0.23208894167916583
11111	25-29	0.2366019505944763
11111	30-34	0.24473159184005766
11111	35-39	0.23431914052681435
11111	40-44	0.3579765730931683
11111	45-49	0.2716561188145832
11111	50-54	0.38622293322604406
11111	55-59	0.4178451441640263
11111	60-64	0.4629141161038106
11111	65-69	0.4428519933049557
11111	70-74	0.5128577867453075
